"animal"	"score"
"1"	"Cougar"	3
"2"	"Cougar"	5
"3"	"Cougar"	3
"4"	"Cougar"	1
"5"	"Cougar"	4
"6"	"Cougar"	3
"7"	"Cougar"	2
"8"	"Cougar"	3
"9"	"Cougar"	4
"10"	"Cougar"	2
"11"	"HouseCat"	2
"12"	"HouseCat"	1
"13"	"HouseCat"	2
"14"	"HouseCat"	3
"15"	"HouseCat"	1
"16"	"HouseCat"	2
"17"	"HouseCat"	1
"18"	"HouseCat"	1
"19"	"HouseCat"	2
"20"	"HouseCat"	1
"21"	"Wolf"	7
"22"	"Wolf"	6
"23"	"Wolf"	7
"24"	"Wolf"	8
"25"	"Wolf"	6
"26"	"Wolf"	5
"27"	"Wolf"	8
"28"	"Wolf"	6
"29"	"Wolf"	7
"30"	"Wolf"	9
"31"	"Dog"	10
"32"	"Dog"	9
"33"	"Dog"	10
"34"	"Dog"	8
"35"	"Dog"	9
"36"	"Dog"	10
"37"	"Dog"	7
"38"	"Dog"	9
"39"	"Dog"	10
"40"	"Dog"	9
