SubjectID,CognitiveScore
1,90.6
2,102.75
3,87.47
4,123.93
5,104.94
6,87.69
7,107.31
8,111.07
9,108.64
10,95.42
11,122.68
12,105.85
13,90.68
14,66.78
15,116.87
16,99.33
17,99.76
18,114.16
19,112.32
20,108.91
21,113.78
22,111.73
23,101.12
24,70.16
25,109.3
26,99.16
27,97.66
28,77.94
29,92.83
30,106.27
31,120.38
32,98.46
33,105.82
34,99.19
35,79.34
36,93.78
37,94.09
38,99.11
39,116.5
40,111.45
41,97.53
42,96.2
43,110.45
44,108.35
45,89.67
46,89.39
47,105.47
48,111.53
49,98.31
50,113.22
51,105.97
52,90.82
53,105.12
54,83.06
55,121.5
56,129.71
57,94.49
58,84.34
59,108.55
60,97.97
61,136.02
62,99.41
63,110.35
64,100.42
65,88.85
66,102.83
67,72.93
68,121.98
69,102.3
70,132.59
71,107.13
72,89.35
73,109.16
74,85.99
75,81.2
76,104.37
77,93.35
78,100.02
79,101.12
80,91.16
81,91.47
82,97.97
83,117.67
84,77.15
85,108.91
86,104.99
87,115.95
88,95.44
89,105.55
90,104.01
91,91.86
92,118.12
93,117.41
94,110.5
95,123.8
96,108.38
97,80.85
98,91.4
99,81.63
100,92.9
101,90.69
102,100.63
103,86.34
104,102.37
105,90.18
106,126.51
107,110.75
108,113.65
109,105.76
110,125.23
111,90.46
112,93.08
113,121.48
114,90.24
115,96.89
116,94.11
117,95.2
118,95.81
119,107.41
120,97.34
121,92.41
122,120.15
123,96.78
124,97.31
125,98.5
126,110.69
127,98.9
128,99.44
129,89.78
130,95.14
131,100.9
132,91.17
133,107.97
134,77.22
135,104.6
136,76.95
137,95.49
138,92.08
139,90.22
140,99.15
141,71.28
142,117.65
143,75.03
144,93.05
145,83.26
146,88.74
147,131.31
148,100.26
149,80.71
150,75.39
151,106.75
152,99.72
153,95.23
154,86.06
155,77.69
156,83.87
157,115
158,90.68
159,79.23
160,128.04
161,106.38
162,96.42
163,115.88
164,113.3
165,90.71
166,133.09
167,96.17
168,78.63
169,97.83
170,103.11
171,134.62
172,101.59
173,106.85
174,98.84
