"Player","Position","Team","TotalMoney","YearlySalary"
"A.J. Derby","TE","Patriots",2.392,0.598
"Alan Branch","43DT","Patriots",4.3,2.15
"Ben Jacobs","LB","Panthers",0.585,0.585
"Brandon LaFell","WR","Patriots",9,3
"Brian Tyms","WR","Patriots",0.6,0.6
"Bruce Ellington","WR","49ers",2.694,0.674
"Bryan Stork","C","Patriots",2.697,0.674
"Chandler Jones","43DE","Patriots",8.173,2.043
"Chris Canty","34DE","Ravens",4.65,2.325
"Chris Harper","WR","Patriots",1.59,0.53
"Dakota Dozier","G","Jets",2.521,0.63
"Dan Connolly","LG","Patriots",9.75,3.25
"Dan DePalma","WR","Chargers",0.9,0.45
"Danny Aiken","LS","Patriots",0.645,0.645
"Danny Amendola","WR","Patriots",14.25,4.75
"David Andrews","C","Patriots",1.59,0.53
"Derek Cox","CB","Patriots",0.745,0.745
"Dominique Easley","DT","Patriots",7.304,1.826
"Greg Orton","WR","Patriots",0.42,0.42
"James Develin","RB","Patriots",0.66,0.66
"James White","RB","Patriots",2.617,0.654
"Jerome Cunningham","TE","Giants",0.93,0.465
"Joe Cardona","LS","Patriots",2.48,0.62
"Jonathan Freeny","LB","Patriots",1,1
"Jonathan Krause","WR","Patriots",0.445,0.445
"Jordan Richards","S","Patriots",3.712,0.928
"Joseph Fauria","TE","Cardinals",1.26,0.63
"Julian Edelman","WR","Patriots",17,4.25
"Justin Coleman","CB","Patriots",0.435,0.435
"Keenan Robinson","LB","Redskins",2.52,0.63
"Kevin Hughes","TE","Patriots",0.51,0.51
"Khyri Thornton","34DE","Patriots",2.22,0.555
"Kwon Alexander","43OLB","Buccaneers",2.758,0.69
"Marcus Cannon","RT","Patriots",8.5,4.25
"Marcus Mariota","QB","Titans",24.214,6.053
"Marcus Murphy","RB","Saints",2.349,0.587
"Michael Hoomanawanui","TE","Patriots",2.4,1.2
"Michael Williams","TE","Patriots",0.96,0.48
"Nate Ebner","S","Patriots",2.197,0.549
"Nelson Agholor","WR","Eagles",9.377,2.344
"Patrick Chung","S","Patriots",7.2,2.4
"Rufus Johnson","34OLB","Patriots",0.435,0.435
"Ryan Allen","P","Patriots",6.1,2.033
"Ryan Wendell","C","Patriots",3.25,1.625
"Scott Chandler","TE","Patriots",5.3,2.65
"Sealver Siliga","43DT","Patriots",0.66,0.66
"Shaquille Mason","C","Patriots",2.724,0.681
"Stephen Gostkowski","K","Patriots",17.2,4.3
"Tavon Wilson","S","Patriots",4.218,1.054
"Tyler Gaffney","RB","Patriots",2.317,0.579
