"TST","item_1","item_2","item_3","item_4","item_5","item_6","item_7","item_8","item_9","item_10"
8.78441427534537,3,3,3,1,2,2,2,2,2,2
8.45889544812419,2,3,2,1,3,2,3,2,3,2
9.6560124947874,1,2,1,3,3,5,1,4,3,1
4.86543896045863,3,4,4,1,1,1,2,3,5,4
7.29105325844618,1,4,3,2,3,5,4,4,4,3
7.46018687539751,1,2,2,1,2,3,2,3,4,3
5.59236302322045,1,2,2,1,1,2,1,3,3,4
9.62772269821001,2,3,2,1,3,3,3,1,1,3
9.93861908904779,1,1,1,3,3,4,1,2,2,2
6.94328596579882,2,2,2,1,2,2,2,2,4,3
9.33867735167555,1,3,3,1,2,2,2,1,2,2
7.38411496319404,1,1,1,1,2,2,1,1,2,4
8.58844051412043,1,2,2,1,3,4,3,3,3,2
10.1277368906801,1,2,3,1,3,4,2,2,4,1
7.91768662222447,1,2,1,1,3,3,3,3,3,3
6.12308212107988,1,2,1,1,3,3,1,2,3,5
7.68116166193844,1,2,2,1,3,3,1,2,4,4
7.2346647716475,1,2,2,1,2,1,3,1,4,1
8.79208002811383,2,4,4,1,3,3,3,3,3,2
6.90828103807167,1,4,2,1,2,1,1,3,4,2
10.0845474845686,1,1,2,2,3,4,2,3,1,2
9.31080505947206,2,3,3,1,2,1,1,2,1,2
6.70631630750431,2,3,3,1,2,3,4,4,4,3
9.66687502456093,1,2,1,3,3,4,1,1,3,2
7.80914369783111,3,2,5,1,2,3,4,4,3,3
7.31169497156841,1,1,3,1,2,3,4,3,2,3
7.9582147329807,2,4,1,1,2,1,1,2,3,2
5.6541824387618,1,1,1,1,1,3,3,3,3,3
11.1531592474066,2,2,2,3,3,4,1,2,2,1
8.18675228538377,2,3,3,1,2,2,1,3,2,2
7.97611368962867,1,2,1,1,3,4,4,2,3,3
5.71338086358205,2,1,1,2,2,5,1,4,5,3
7.56785435561054,2,3,3,1,2,2,3,2,3,3
7.89402899967386,2,3,2,1,3,3,2,2,3,3
9.06585387095406,1,2,3,1,2,1,2,2,1,3
8.59514997138424,3,4,3,1,1,1,1,2,1,2
7.4227836511286,2,3,4,1,1,1,1,2,3,2
5.17783754423809,1,3,3,1,1,1,3,3,3,3
7.63858628475533,3,5,5,1,2,1,2,3,3,3
8.58021214429126,2,3,2,1,3,2,1,1,3,3
10.6157652120916,1,3,4,1,4,5,2,1,4,2
6.03575932705505,2,3,4,1,2,4,2,4,4,4
7.67027462574414,2,1,2,1,1,1,2,4,1,1
10.004812133116,1,1,1,2,4,4,1,1,2,2
6.5892365775175,1,3,2,1,3,5,3,4,5,3
7.89640797393054,1,1,1,1,3,3,1,1,3,3
5.85889824726551,2,3,4,1,2,3,3,4,4,4
7.90225400126343,1,2,3,1,2,4,3,3,4,1
8.62275398967582,2,3,3,1,3,3,1,3,4,2
10.6164272354732,2,2,1,2,3,3,1,3,2,1
